trip_id,start_time,end_time,headway_secs,exact_times
6P-R02,16:00:00,20:00:00,600,0
6P-R02,20:00:00,22:00:00,1200,0
6U-R01,05:00:00,06:00:00,1200,0
6U-R01,06:00:00,09:00:00,600,0
6U-R01,09:00:00,16:00:00,1200,0
6U-R01,16:00:00,20:00:00,600,0
6U-R01,20:00:00,22:00:00,1200,0
6U-R02,05:00:00,06:00:00,1200,0
6U-R02,06:00:00,09:00:00,600,0
6U-R02,09:00:00,16:00:00,1200,0
6U-R02,16:00:00,20:00:00,600,0
6U-R02,20:00:00,22:00:00,1200,0
7A-R01,05:00:00,06:00:00,1200,0
7A-R01,06:00:00,09:00:00,600,0
7A-R01,09:00:00,16:00:00,1200,0
7A-R01,16:00:00,20:00:00,600,0
7A-R01,20:00:00,22:00:00,1200,0
7A-R02,05:00:00,06:00:00,1200,0
7A-R02,06:00:00,09:00:00,600,0
7A-R02,09:00:00,16:00:00,1200,0
7A-R02,16:00:00,20:00:00,600,0
7A-R02,20:00:00,22:00:00,1200,0
7B-R02,05:00:00,06:00:00,1200,0
7B-R02,06:00:00,09:00:00,600,0
7B-R02,09:00:00,16:00:00,1200,0
7B-R02,16:00:00,20:00:00,600,0
7B-R02,20:00:00,22:00:00,1200,0
7B-R03,05:00:00,06:00:00,1200,0
7B-R03,06:00:00,09:00:00,600,0
7B-R03,09:00:00,16:00:00,1200,0
7B-R03,16:00:00,20:00:00,600,0
7B-R03,20:00:00,22:00:00,1200,0
7C-R01,05:00:00,06:00:00,1200,0
7C-R01,06:00:00,09:00:00,600,0
7C-R01,09:00:00,16:00:00,1200,0
7C-R01,16:00:00,20:00:00,600,0
7C-R01,20:00:00,22:00:00,1200,0
7C-R02,05:00:00,06:00:00,1200,0
7C-R02,06:00:00,09:00:00,600,0
7C-R02,09:00:00,16:00:00,1200,0
7C-R02,16:00:00,20:00:00,600,0
7C-R02,20:00:00,22:00:00,1200,0
7E-R01,05:00:00,06:00:00,1200,0
7E-R01,06:00:00,09:00:00,600,0
7E-R01,09:00:00,16:00:00,1200,0
7E-R01,16:00:00,20:00:00,600,0
7E-R01,20:00:00,22:00:00,1200,0
7E-R05,05:00:00,06:00:00,1200,0
7E-R05,06:00:00,09:00:00,600,0
7E-R05,09:00:00,16:00:00,1200,0
7E-R05,16:00:00,20:00:00,600,0
7E-R05,20:00:00,22:00:00,1200,0
7P-R03,05:00:00,06:00:00,1200,0
7P-R03,06:00:00,09:00:00,600,0
7P-R03,09:00:00,16:00:00,1200,0
7P-R03,16:00:00,20:00:00,600,0
