route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
JAK.06,SH,JAK.06-R02,Kampung Rambutan - Pondok Gede,1,,JAK.06-R02_shp
JAK.07,SH,JAK.07-R01,Tanah Abang - Grogol Via Tawakal,0,,JAK.07-R01_shp
JAK.07,SH,JAK.07-R02,Grogol - Tanah Abang via Tawakal,1,,JAK.07-R02_shp
JAK.08,SH,JAK.08-R03,Roxy - Benhil,0,,s7zo
JAK.08,SH,JAK.08-R04,Benhil - Roxy,1,,hovv
JAK.09,SH,JAK.09-R01,Tanah Abang - Karet,0,,o4vt
JAK.09,SH,JAK.09-R02,Karet - Tanah Abang,1,,JAK.09-R02_shp
JAK.100,SH,JAK.100-R01,Term. Pulo Gebang - Rusun Pinus Elok,0,,uzwp
JAK.100,SH,JAK.100-R03,Rusun Pinus Elok - Term. Pulo Gebang,1,,hn8l
JAK.102,SH,JAK.102-R01,Blok M - Lebak Bulus,0,,wz7u
JAK.102,SH,JAK.102-R02,Lebak Bulus - Blok M,1,,0n45
JAK.105,SH,JAK.105-R01,Stasiun Tebet - Rusun Cipinang Muara,0,,f1c5
JAK.105,SH,JAK.105-R02,Rusun Cipinang Muara - Stasiun Tebet,1,,0m2z
JAK.106,SH,JAK.106-R01,Terminal Klender - Terminal Kampung Melayu,0,,JAK.106-R01_shp
JAK.106,SH,JAK.106-R03,Terminal Kampung Melayu - Terminal Klender,1,,JAK.106-R03_shp
JAK.108,SH,JAK.108-R01,Kramat Jati - Bambu Apus,0,,doab
JAK.108,SH,JAK.108-R02,Bambu Apus - Kramat Jati,1,,v3dx
JAK.108,SH,JAK.108-R03,Kramat Jati - Bambu Apus,0,,71hv
JAK.108,SH,JAK.108-R04,Bambu Apus - Kramat Jati,1,,rly5
JAK.10A,SH,JAK.10A-L01,Gondangdia - Cikini via Salemba - Gondangdia,0,,JAK.10A-L01_shp
JAK.10B,SH,JAK.10B-L01,Gondangdia - Cikini via Kramat - Gondangdia,0,,JAK.10B-L01_shp
JAK.10,SH,JAK.10-R03,Tanah Abang - Kota,0,,JAK.10-R03_shp
JAK.10,SH,JAK.10-R04,Kota - Tanah Abang,1,,JAK.10-R04_shp
JAK.110A,SH,JAK.110A-R02,Terminal Terpadu Pulo Gebang - Rusun Marunda,1,,JAK.110A-R02_shp
